Fecha,Temp_Maxima_C,Temp_Minima_C
2025-03-20,28.2,17.3
2025-03-21,28.1,18.1
2025-03-22,27.9,15.9
2025-03-23,30.5,18.5
2025-03-24,30.2,19.7
2025-03-25,31.4,20.4
2025-03-26,31.2,19.9
2025-03-27,30.9,20.0
2025-03-28,29.3,20.6
2025-03-29,30.2,21.8
2025-03-30,30.8,21.4
2025-03-31,30.8,21.3
2025-04-01,30.8,21.6
2025-04-02,30.7,22.5
2025-04-03,29.9,23.8
2025-04-04,29.7,23.9
2025-04-05,29.6,22.9
2025-04-06,30.0,21.1
2025-04-07,30.3,21.9
2025-04-08,29.8,22.6
2025-04-09,26.2,18.9
2025-04-10,27.5,17.1
2025-04-11,28.6,17.0
2025-04-12,28.1,17.2
2025-04-13,28.0,16.8
2025-04-14,29.0,16.8
2025-04-15,30.4,18.9
2025-04-16,29.1,18.9
2025-04-17,28.9,17.3
2025-04-18,29.7,19.4
2025-04-19,29.2,20.7
2025-04-20,29.5,21.6
2025-04-21,30.1,21.8
2025-04-22,29.9,20.8
2025-04-23,30.0,20.5
2025-04-24,29.9,20.5
2025-04-25,30.4,21.4
2025-04-26,30.9,21.5
2025-04-27,31.0,21.3
2025-04-28,30.7,21.7
2025-04-29,30.8,21.3
2025-04-30,30.3,20.5
2025-05-01,29.9,21.9
2025-05-02,30.5,21.0
2025-05-03,31.0,21.2
2025-05-04,31.4,21.2
2025-05-05,31.9,21.7
2025-05-06,32.1,22.5
2025-05-07,31.3,23.2
2025-05-08,32.1,22.4
2025-05-09,32.0,22.3
2025-05-10,31.7,22.9
2025-05-11,29.6,22.2
2025-05-12,29.6,22.0
2025-05-13,31.5,22.6
2025-05-14,31.8,22.7
2025-05-15,32.7,22.9
2025-05-16,32.4,23.4
2025-05-17,32.1,23.1
2025-05-18,32.6,23.5
2025-05-19,33.1,23.5
2025-05-20,32.8,23.5
2025-05-21,33.0,24.3
2025-05-22,33.6,24.2
2025-05-23,34.4,24.2
2025-05-24,34.1,24.3
2025-05-25,33.8,24.3
2025-05-26,33.3,24.4
2025-05-27,33.1,24.6
2025-05-28,33.4,24.7
2025-05-29,33.2,24.3
2025-05-30,33.3,24.6
2025-05-31,33.1,24.0
2025-06-01,32.6,23.9
2025-06-02,28.7,22.7
2025-06-03,29.0,22.8
2025-06-04,30.8,22.0
2025-06-05,30.8,23.9
2025-06-06,30.8,24.0
2025-06-07,31.9,24.2
2025-06-08,31.0,23.9
2025-06-09,31.6,23.3
2025-06-10,32.1,24.1
2025-06-11,30.4,23.5
2025-06-12,31.6,22.9
2025-06-13,31.3,23.9
2025-06-14,31.0,24.2
2025-06-15,31.4,23.6
2025-06-16,31.1,23.6
2025-06-17,30.6,24.0
2025-06-18,32.1,23.7
2025-06-19,32.6,24.5
2025-06-20,31.6,23.9
2025-06-21,31.6,23.8
2025-06-22,31.1,24.0
2025-06-23,32.2,23.7
2025-06-24,31.6,24.5
2025-06-25,30.7,23.5
2025-06-26,30.2,21.9
2025-06-27,28.6,24.4
2025-06-28,31.4,24.6
2025-06-29,31.5,24.3
2025-06-30,31.0,22.1
2025-07-01,31.7,22.8
2025-07-02,32.7,23.4
2025-07-03,33.2,23.8
2025-07-04,32.1,24.2
2025-07-05,31.8,23.9
2025-07-06,30.8,23.9
2025-07-07,31.8,24.4
2025-07-08,32.3,24.7
2025-07-09,29.9,24.6
2025-07-10,31.4,23.0
2025-07-11,31.9,23.9
2025-07-12,32.6,23.9
2025-07-13,32.8,24.5
2025-07-14,33.2,24.8
2025-07-15,31.9,23.8
2025-07-16,28.9,23.7
2025-07-17,30.3,24.6
2025-07-18,32.2,24.8
2025-07-19,32.4,25.1
2025-07-20,32.2,24.7
2025-07-21,32.4,24.7
2025-07-22,32.1,24.4
2025-07-23,30.3,24.0
2025-07-24,30.5,24.3
2025-07-25,32.1,24.3
2025-07-26,32.0,24.6
2025-07-27,32.9,24.6
2025-07-28,32.5,23.9
2025-07-29,32.4,24.3
2025-07-30,33.1,23.6
2025-07-31,33.1,25.0
2025-08-01,32.9,25.3
2025-08-02,32.1,25.1
2025-08-03,32.1,24.2
2025-08-04,33.1,23.9
2025-08-05,32.8,24.3
2025-08-06,32.8,24.4
2025-08-07,31.9,24.4
2025-08-08,29.4,23.7
2025-08-09,31.8,24.1
2025-08-10,31.3,23.8
2025-08-11,31.5,23.4
2025-08-12,32.1,23.1
2025-08-13,32.3,23.8
2025-08-14,32.6,24.8
2025-08-15,32.5,24.8
2025-08-16,32.6,25.1
2025-08-17,31.5,24.4
2025-08-18,32.5,23.8
2025-08-19,33.9,24.6
2025-08-20,34.0,24.4
2025-08-21,33.6,25.3
2025-08-22,32.6,25.1
2025-08-23,33.5,24.5
2025-08-24,33.4,24.8
2025-08-25,33.4,25.0
2025-08-26,33.8,25.1
2025-08-27,35.0,25.8
2025-08-28,33.3,25.0
2025-08-29,32.6,24.2
2025-08-30,33.1,24.4
2025-08-31,32.0,23.5
2025-09-01,33.0,24.4
2025-09-02,33.4,24.3
2025-09-03,32.9,24.5
2025-09-04,32.0,24.5
2025-09-05,32.2,24.7
2025-09-06,31.0,24.0
2025-09-07,31.3,23.6
2025-09-08,31.4,23.8
2025-09-09,30.6,23.8
2025-09-10,32.4,24.2
2025-09-11,32.8,24.3
2025-09-12,30.9,24.1
2025-09-13,30.7,23.3
2025-09-14,30.5,23.5
2025-09-15,30.3,23.5
2025-09-16,28.2,24.4
2025-09-17,28.9,23.5
2025-09-18,30.4,23.4
2025-09-19,31.5,24.2
2025-09-20,31.8,23.7
2025-09-21,31.7,24.0
2025-09-22,29.8,23.9
2025-09-23,30.7,24.1
2025-09-24,32.1,24.2
2025-09-25,32.5,23.9
2025-09-26,32.6,24.3
2025-09-27,32.8,23.5
2025-09-28,32.8,24.3
2025-09-29,32.2,24.8
2025-09-30,32.4,23.8
2025-10-01,33.0,23.3
2025-10-02,30.4,23.7
2025-10-03,32.0,23.2
2025-10-04,30.4,23.1
2025-10-05,31.7,23.3
2025-10-06,31.7,24.3
2025-10-07,31.3,23.4
2025-10-08,31.0,24.1
2025-10-09,29.1,23.3
2025-10-10,27.7,23.6
2025-10-11,29.3,22.1
2025-10-12,29.9,21.4
2025-10-13,31.0,22.2
2025-10-14,30.6,22.9
2025-10-15,29.8,23.5
2025-10-16,30.7,22.5
2025-10-17,30.5,21.9
2025-10-18,30.0,22.5
2025-10-19,30.7,22.9
2025-10-20,31.4,23.4
2025-10-21,29.8,23.2
2025-10-22,30.3,22.8
2025-10-23,30.8,22.1
2025-10-24,29.9,22.7
2025-10-25,30.9,23.3
2025-10-26,31.7,23.9
2025-10-27,30.4,23.8
2025-10-28,31.3,23.1
2025-10-29,28.9,22.8
2025-10-30,27.8,21.0
2025-10-31,28.0,19.7
2025-11-01,27.8,18.8
